id,value,category
0,value_0,cat_0
1,value_1,cat_1
2,value_2,cat_2
3,value_3,cat_3
4,value_4,cat_4
5,value_5,cat_5
6,value_6,cat_6
7,value_7,cat_7
8,value_8,cat_8
9,value_9,cat_9
10,value_10,cat_0
11,value_11,cat_1
12,value_12,cat_2
13,value_13,cat_3
14,value_14,cat_4
15,value_15,cat_5
16,value_16,cat_6
17,value_17,cat_7
18,value_18,cat_8
19,value_19,cat_9
20,value_20,cat_0
21,value_21,cat_1
22,value_22,cat_2
23,value_23,cat_3
24,value_24,cat_4
25,value_25,cat_5
26,value_26,cat_6
27,value_27,cat_7
28,value_28,cat_8
29,value_29,cat_9
30,value_30,cat_0
31,value_31,cat_1
32,value_32,cat_2
33,value_33,cat_3
34,value_34,cat_4
35,value_35,cat_5
36,value_36,cat_6
37,value_37,cat_7
38,value_38,cat_8
39,value_39,cat_9
40,value_40,cat_0
41,value_41,cat_1
42,value_42,cat_2
43,value_43,cat_3
44,value_44,cat_4
45,value_45,cat_5
46,value_46,cat_6
47,value_47,cat_7
48,value_48,cat_8
49,value_49,cat_9
50,value_50,cat_0
51,value_51,cat_1
52,value_52,cat_2
53,value_53,cat_3
54,value_54,cat_4
55,value_55,cat_5
56,value_56,cat_6
57,value_57,cat_7
58,value_58,cat_8
59,value_59,cat_9
60,value_60,cat_0
61,value_61,cat_1
62,value_62,cat_2
63,value_63,cat_3
64,value_64,cat_4
65,value_65,cat_5
66,value_66,cat_6
67,value_67,cat_7
68,value_68,cat_8
69,value_69,cat_9
70,value_70,cat_0
71,value_71,cat_1
72,value_72,cat_2
73,value_73,cat_3
74,value_74,cat_4
75,value_75,cat_5
76,value_76,cat_6
77,value_77,cat_7
78,value_78,cat_8
79,value_79,cat_9
80,value_80,cat_0
81,value_81,cat_1
82,value_82,cat_2
83,value_83,cat_3
84,value_84,cat_4
85,value_85,cat_5
86,value_86,cat_6
87,value_87,cat_7
88,value_88,cat_8
89,value_89,cat_9
90,value_90,cat_0
91,value_91,cat_1
92,value_92,cat_2
93,value_93,cat_3
94,value_94,cat_4
95,value_95,cat_5
96,value_96,cat_6
97,value_97,cat_7
98,value_98,cat_8
99,value_99,cat_9
100,value_100,cat_0
101,value_101,cat_1
102,value_102,cat_2
103,value_103,cat_3
104,value_104,cat_4
105,value_105,cat_5
106,value_106,cat_6
107,value_107,cat_7
108,value_108,cat_8
109,value_109,cat_9
110,value_110,cat_0
111,value_111,cat_1
112,value_112,cat_2
113,value_113,cat_3
114,value_114,cat_4
115,value_115,cat_5
116,value_116,cat_6
117,value_117,cat_7
118,value_118,cat_8
119,value_119,cat_9
120,value_120,cat_0
121,value_121,cat_1
122,value_122,cat_2
123,value_123,cat_3
124,value_124,cat_4
125,value_125,cat_5
126,value_126,cat_6
127,value_127,cat_7
128,value_128,cat_8
129,value_129,cat_9
130,value_130,cat_0
131,value_131,cat_1
132,value_132,cat_2
133,value_133,cat_3
134,value_134,cat_4
135,value_135,cat_5
136,value_136,cat_6
137,value_137,cat_7
138,value_138,cat_8
139,value_139,cat_9
140,value_140,cat_0
141,value_141,cat_1
142,value_142,cat_2
143,value_143,cat_3
144,value_144,cat_4
145,value_145,cat_5
146,value_146,cat_6
147,value_147,cat_7
148,value_148,cat_8
149,value_149,cat_9
150,value_150,cat_0
151,value_151,cat_1
152,value_152,cat_2
153,value_153,cat_3
154,value_154,cat_4
155,value_155,cat_5
156,value_156,cat_6
157,value_157,cat_7
158,value_158,cat_8
159,value_159,cat_9
160,value_160,cat_0
161,value_161,cat_1
162,value_162,cat_2
163,value_163,cat_3
164,value_164,cat_4
165,value_165,cat_5
166,value_166,cat_6
167,value_167,cat_7
168,value_168,cat_8
169,value_169,cat_9
170,value_170,cat_0
171,value_171,cat_1
172,value_172,cat_2
173,value_173,cat_3
174,value_174,cat_4
175,value_175,cat_5
176,value_176,cat_6
177,value_177,cat_7
178,value_178,cat_8
179,value_179,cat_9
180,value_180,cat_0
181,value_181,cat_1
182,value_182,cat_2
183,value_183,cat_3
184,value_184,cat_4
185,value_185,cat_5
186,value_186,cat_6
187,value_187,cat_7
188,value_188,cat_8
189,value_189,cat_9
190,value_190,cat_0
191,value_191,cat_1
192,value_192,cat_2
193,value_193,cat_3
194,value_194,cat_4
195,value_195,cat_5
196,value_196,cat_6
197,value_197,cat_7
198,value_198,cat_8
199,value_199,cat_9
200,value_200,cat_0
201,value_201,cat_1
202,value_202,cat_2
203,value_203,cat_3
204,value_204,cat_4
205,value_205,cat_5
206,value_206,cat_6
207,value_207,cat_7
208,value_208,cat_8
209,value_209,cat_9
210,value_210,cat_0
211,value_211,cat_1
212,value_212,cat_2
213,value_213,cat_3
214,value_214,cat_4
215,value_215,cat_5
216,value_216,cat_6
217,value_217,cat_7
218,value_218,cat_8
219,value_219,cat_9
220,value_220,cat_0
221,value_221,cat_1
222,value_222,cat_2
223,value_223,cat_3
224,value_224,cat_4
225,value_225,cat_5
226,value_226,cat_6
227,value_227,cat_7
228,value_228,cat_8
229,value_229,cat_9
230,value_230,cat_0
231,value_231,cat_1
232,value_232,cat_2
233,value_233,cat_3
234,value_234,cat_4
235,value_235,cat_5
236,value_236,cat_6
237,value_237,cat_7
238,value_238,cat_8
239,value_239,cat_9
240,value_240,cat_0
241,value_241,cat_1
242,value_242,cat_2
243,value_243,cat_3
244,value_244,cat_4
245,value_245,cat_5
246,value_246,cat_6
247,value_247,cat_7
248,value_248,cat_8
249,value_249,cat_9
250,value_250,cat_0
251,value_251,cat_1
252,value_252,cat_2
253,value_253,cat_3
254,value_254,cat_4
255,value_255,cat_5
256,value_256,cat_6
257,value_257,cat_7
258,value_258,cat_8
259,value_259,cat_9
260,value_260,cat_0
261,value_261,cat_1
262,value_262,cat_2
263,value_263,cat_3
264,value_264,cat_4
265,value_265,cat_5
266,value_266,cat_6
267,value_267,cat_7
268,value_268,cat_8
269,value_269,cat_9
270,value_270,cat_0
271,value_271,cat_1
